algoritmo,tiempo,memoria
MedicionBuscarLinkedList,18721139200,937264
MedicionBuscarArrayList,11051321700,937274
MedicionBuscarTrie,15433700,10450571
MedicionBuscarHashMap,3123600,82
MedicionBuscarTreeMap,4313900,84
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,23091704400,937264
MedicionBuscarArrayList,18221729000,937274
MedicionBuscarTrie,52754100,10450571
MedicionBuscarHashMap,6054300,82
MedicionBuscarTreeMap,10500600,84
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,24940931000,937264
MedicionBuscarArrayList,13473142000,937274
MedicionBuscarTrie,16732400,10450571
MedicionBuscarHashMap,4921000,82
MedicionBuscarTreeMap,7475800,84
